kind,model,order,rows,device,algorithm,points,max_feature_abs,mean_feature_abs,finite,max_pair_abs,mean_pair_abs,error,initial_configuration_error,library
benchmark,adult-large,1,16,cpu,treeshap,8,1.739277145196283e-06,1.8972081588914766e-07,True,,,,,
benchmark,adult-large,1,16,cpu,quadratureshap,8,2.5232094760241353e-06,1.8125609038970657e-07,True,,,,,
benchmark,adult-large,1,16,cuda,treeshap,8,0.24609741163350202,0.01694202936051273,True,,,,,
benchmark,adult-large,1,16,cuda,quadratureshap,8,1.4256332182327469e-05,1.2467842256791823e-06,True,,,,,
benchmark,adult-large,2,1,cpu,treeshap,,,,True,2.2974017423182946e-06,1.6579647893063197e-07,,,
benchmark,adult-large,2,1,cpu,quadratureshap,,,,True,3.129392331491232e-06,1.8137458551853282e-07,,,
benchmark,adult-large,2,1,cuda,treeshap,,,,True,0.12095037109384955,0.0037212765333205907,,,
benchmark,adult-large,2,1,cuda,quadratureshap,,,,True,1.3293928002200417e-05,2.8921991017737535e-07,,,
benchmark,adult-small,1,16,cpu,treeshap,8,1.0429389615818074e-08,6.656520504902604e-10,True,,,,,
benchmark,adult-small,1,16,cpu,quadratureshap,8,1.0962465601949134e-08,6.636950254284581e-10,True,,,,,
benchmark,adult-small,1,16,cuda,treeshap,8,1.883985678574618e-08,1.21393025956532e-09,True,,,,,
benchmark,adult-small,1,16,cuda,quadratureshap,8,2.0222228919175578e-08,1.2094046684451704e-09,True,,,,,
benchmark,adult-small,2,1,cpu,treeshap,,,,True,6.329859331133392e-09,4.213554007249287e-10,,,
benchmark,adult-small,2,1,cpu,quadratureshap,,,,True,6.329859331133392e-09,1.3647579330602482e-10,,,
benchmark,adult-small,2,1,cuda,treeshap,,,,True,4.550414878234932e-09,8.57995366491399e-11,,,
benchmark,adult-small,2,1,cuda,quadratureshap,,,,True,7.728157395275881e-09,2.435754826868578e-10,,,
benchmark,adult-sparse,1,16,cpu,treeshap,8,1.925023725979358e-07,1.5907472653963086e-08,True,,,,,
benchmark,adult-sparse,1,16,cpu,quadratureshap,8,1.987771242051295e-07,1.4779670743604626e-08,True,,,,,
