requested_depth,realized_depth,max_unique_depth,exact_points,rows,classes,features,reference_crosscheck_max_abs,algorithm_label,max_feature_abs
4,4,4,2,512,10,784,4.440892098500626e-15,TreeSHAP,3.0911803539090954e-07
4,4,4,2,512,10,784,4.440892098500626e-15,QuadratureSHAP-4,3.3316048508869045e-07
4,4,4,2,512,10,784,4.440892098500626e-15,QuadratureSHAP-6,3.166164266321658e-07
4,4,4,2,512,10,784,4.440892098500626e-15,QuadratureSHAP-8,3.166164266321658e-07
4,4,4,2,512,10,784,4.440892098500626e-15,QuadratureSHAP-16,3.8274755809197814e-07
8,8,8,4,512,10,784,3.774758283725532e-15,TreeSHAP,3.575706802871892e-07
8,8,8,4,512,10,784,3.774758283725532e-15,QuadratureSHAP-4,3.5988819679921846e-07
8,8,8,4,512,10,784,3.774758283725532e-15,QuadratureSHAP-6,3.5988819679921846e-07
8,8,8,4,512,10,784,3.774758283725532e-15,QuadratureSHAP-8,3.0942671025435686e-07
8,8,8,4,512,10,784,3.774758283725532e-15,QuadratureSHAP-16,3.5988819679921846e-07
12,12,12,6,512,10,784,8.43769498715119e-15,TreeSHAP,3.956526938297955e-07
12,12,12,6,512,10,784,8.43769498715119e-15,QuadratureSHAP-4,1.8665316686924255e-05
12,12,12,6,512,10,784,8.43769498715119e-15,QuadratureSHAP-6,7.053573725102069e-07
12,12,12,6,512,10,784,8.43769498715119e-15,QuadratureSHAP-8,7.053573725102069e-07
12,12,12,6,512,10,784,8.43769498715119e-15,QuadratureSHAP-16,7.053573725102069e-07
16,16,16,8,512,10,784,6.439293542825908e-15,TreeSHAP,7.601002957949299e-07
16,16,16,8,512,10,784,6.439293542825908e-15,QuadratureSHAP-4,6.710687146767313e-05
16,16,16,8,512,10,784,6.439293542825908e-15,QuadratureSHAP-6,3.752081967345333e-07
16,16,16,8,512,10,784,6.439293542825908e-15,QuadratureSHAP-8,3.823806096203697e-07
16,16,16,8,512,10,784,6.439293542825908e-15,QuadratureSHAP-16,3.529538092905682e-07
24,24,24,12,512,10,784,6.661338147750939e-15,TreeSHAP,2.3639437470534402e-05
24,24,24,12,512,10,784,6.661338147750939e-15,QuadratureSHAP-4,0.0001691057645060723
24,24,24,12,512,10,784,6.661338147750939e-15,QuadratureSHAP-6,1.365022050257153e-06
24,24,24,12,512,10,784,6.661338147750939e-15,QuadratureSHAP-8,4.937816353578484e-07
24,24,24,12,512,10,784,6.661338147750939e-15,QuadratureSHAP-16,3.8821002901201496e-07
32,32,32,16,512,10,784,9.547918011776346e-15,TreeSHAP,0.006778537521148875
32,32,32,16,512,10,784,9.547918011776346e-15,QuadratureSHAP-4,0.00021744512832130164
32,32,32,16,512,10,784,9.547918011776346e-15,QuadratureSHAP-6,3.274463772427738e-06
32,32,32,16,512,10,784,9.547918011776346e-15,QuadratureSHAP-8,3.774546999402162e-07
32,32,32,16,512,10,784,9.547918011776346e-15,QuadratureSHAP-16,3.704379272218006e-07
48,48,47,24,512,10,784,1.0658141036401503e-14,TreeSHAP,26.319994715701455
48,48,47,24,512,10,784,1.0658141036401503e-14,QuadratureSHAP-4,0.00023772010898451268
48,48,47,24,512,10,784,1.0658141036401503e-14,QuadratureSHAP-6,6.586335061592452e-06
48,48,47,24,512,10,784,1.0658141036401503e-14,QuadratureSHAP-8,5.551135642267724e-07
48,48,47,24,512,10,784,1.0658141036401503e-14,QuadratureSHAP-16,4.3590427467599113e-07
55,55,53,27,512,10,784,1.0880185641326534e-14,TreeSHAP,147.92936819867862
55,55,53,27,512,10,784,1.0880185641326534e-14,QuadratureSHAP-4,0.0002383508777757809
55,55,53,27,512,10,784,1.0880185641326534e-14,QuadratureSHAP-6,6.8240857263729415e-06
55,55,53,27,512,10,784,1.0880185641326534e-14,QuadratureSHAP-8,7.172181757386653e-07
55,55,53,27,512,10,784,1.0880185641326534e-14,QuadratureSHAP-16,7.172181757386653e-07
64,55,53,27,512,10,784,1.0880185641326534e-14,TreeSHAP,147.92936819867862
64,55,53,27,512,10,784,1.0880185641326534e-14,QuadratureSHAP-4,0.0002383508777757809
64,55,53,27,512,10,784,1.0880185641326534e-14,QuadratureSHAP-6,6.8240857263729415e-06
64,55,53,27,512,10,784,1.0880185641326534e-14,QuadratureSHAP-8,7.172181757386653e-07
64,55,53,27,512,10,784,1.0880185641326534e-14,QuadratureSHAP-16,7.172181757386653e-07
