trees,leaves,average_depth,mean_max_depth,max_max_depth,max_unique_feature_depth,mean_nodes,mean_leaves,name,features,num_rounds,model_sha256
1000,613331,16.0,16.0,16,14,1225.662,613.331,adult-large,14,1000,e2bacce6f45fa12715680f3923fcd51803d9a7a12f601e66a8e42d980feb568d
10,401,6.0,6.0,6,6,79.2,40.1,adult-small,14,10,77cf964f2a790427c822a8fac4f3635fedfbe619e34964a356681ef2f1f5157d
100,51200,22.97,22.97,28,13,1023.0,512.0,adult-sparse,14,100,b3a0d66ef2b385a62e20fd84c5262b0de3b7d15b0af4abef3a0e3c9a33424adf
1000,3702843,16.0,16.0,16,8,7404.686,3702.843,cal_housing-large,8,1000,e3c74d8dd46080b85b33ffc2f1f123ab152a13840d5628421fd78386c362d00d
10,640,6.0,6.0,6,5,127.0,64.0,cal_housing-small,8,10,08c49ba2230269e82d3f189ab7356a3985e7d5526bbdbe881d2be7c9151bd7d6
100,51200,17.22,17.22,20,8,1023.0,512.0,cal_housing-sparse,8,100,35069b919c2d30de780ba02fc67f338177e2d27b92e62a1752d2dad81887cded
8000,19334,0.011875,0.011875,16,14,3.8335,2.41675,covtype-large,54,1000,6cf3c2d6dfb816a7b6702bf87f17e147ceb43fc36ed309649a3945671c4e361f
80,393,0.45,0.45,6,6,8.825,4.9125,covtype-small,54,10,ed3311b92edf4183aeec36fe7a720fbfa7e97fe53ab2ab374060c86b98d3a155
800,3232,0.1575,0.1575,24,18,7.08,4.04,covtype-sparse,54,100,9faadf82d675b6645425b295929f01236017b846ed54d6ac732225b28f67a2f4
10000,2957237,15.1542,15.1542,16,16,590.4474,295.7237,fashion_mnist-large,784,1000,dda10a5f2b2876d467429f29ca18af98fdd6b5f72c80875c6628cb7c70e28b7f
100,5746,6.0,6.0,6,6,113.92,57.46,fashion_mnist-small,784,10,3ec1fac99626b537f64ec4ffe9071746b4026beeb955c1d88b562c95ac1f6987
1000,412401,24.962,24.962,52,48,823.802,412.401,fashion_mnist-sparse,784,100,8f75ec4ba2672733a8cc843ead105573bd0dd4dfde7539c98378fb8d86de987a
