algorithm,algorithm_label,requested_depth,num_trees,mean_max_depth,max_max_depth,mean_nodes,mean_leaves,mean_efficiency_err,p99_efficiency_err,max_efficiency_err,quadrature_points
treeshap,TreeSHAP,4,1000,4.0,4.0,30.888,15.944,8.614197355427677e-08,4.76837158203125e-07,7.152557373046875e-07,
quadratureshap,QuadratureSHAP-4,4,1000,4.0,4.0,30.888,15.944,8.486863123380317e-08,4.76837158203125e-07,8.344650268554688e-07,4
quadratureshap,QuadratureSHAP-6,4,1000,4.0,4.0,30.888,15.944,8.433407572283613e-08,4.76837158203125e-07,8.344650268554688e-07,6
quadratureshap,QuadratureSHAP-8,4,1000,4.0,4.0,30.888,15.944,8.37674605236316e-08,4.76837158203125e-07,7.152557373046875e-07,8
quadratureshap,QuadratureSHAP-16,4,1000,4.0,4.0,30.888,15.944,8.571409892965676e-08,4.76837158203125e-07,8.344650268554688e-07,16
treeshap,TreeSHAP,8,1000,8.0,8.0,287.296,144.148,7.081397512820331e-08,4.76837158203125e-07,9.5367431640625e-07,
quadratureshap,QuadratureSHAP-4,8,1000,8.0,8.0,287.296,144.148,7.610013597059151e-08,4.76837158203125e-07,9.5367431640625e-07,4
quadratureshap,QuadratureSHAP-6,8,1000,8.0,8.0,287.296,144.148,7.347149733050173e-08,4.76837158203125e-07,9.5367431640625e-07,6
quadratureshap,QuadratureSHAP-8,8,1000,8.0,8.0,287.296,144.148,8.077091706581996e-08,4.76837158203125e-07,8.344650268554688e-07,8
quadratureshap,QuadratureSHAP-16,8,1000,8.0,8.0,287.296,144.148,7.55535083385439e-08,4.76837158203125e-07,9.5367431640625e-07,16
treeshap,TreeSHAP,12,1000,12.0,12.0,759.516,380.258,1.047646946972236e-07,5.960464477539062e-07,1.5497207641601562e-06,
quadratureshap,QuadratureSHAP-4,12,1000,12.0,12.0,759.516,380.258,4.97977998747956e-06,3.739774183486588e-05,0.00022327899932861328,4
quadratureshap,QuadratureSHAP-6,12,1000,12.0,12.0,759.516,380.258,8.145925534108756e-08,4.76837158203125e-07,1.1920928955078125e-06,6
quadratureshap,QuadratureSHAP-8,12,1000,12.0,12.0,759.516,380.258,8.889819724799963e-08,4.76837158203125e-07,1.1920928955078125e-06,8
quadratureshap,QuadratureSHAP-16,12,1000,12.0,12.0,759.516,380.258,8.306233212351799e-08,4.76837158203125e-07,1.1920928955078125e-06,16
treeshap,TreeSHAP,16,1000,16.0,16.0,1017.052,509.026,3.9815478203308885e-07,3.4570693969726562e-06,4.76837158203125e-06,
quadratureshap,QuadratureSHAP-4,16,1000,16.0,16.0,1017.052,509.026,1.2102141226932872e-05,0.0001179522296297364,0.0007690787315368652,4
quadratureshap,QuadratureSHAP-6,16,1000,16.0,16.0,1017.052,509.026,9.800587719155374e-08,4.76837158203125e-07,1.0728836059570312e-06,6
quadratureshap,QuadratureSHAP-8,16,1000,16.0,16.0,1017.052,509.026,1.0199092059792747e-07,5.960464477539062e-07,1.1920928955078125e-06,8
quadratureshap,QuadratureSHAP-16,16,1000,16.0,16.0,1017.052,509.026,9.846608151065084e-08,4.76837158203125e-07,9.5367431640625e-07,16
treeshap,TreeSHAP,24,1000,23.298,24.0,1155.784,578.392,6.190628482727334e-06,5.979776324238628e-05,0.0001842975616455078,
quadratureshap,QuadratureSHAP-4,24,1000,23.298,24.0,1155.784,578.392,2.8366732294671237e-05,0.00030849516042508185,0.0019596219062805176,4
quadratureshap,QuadratureSHAP-6,24,1000,23.298,24.0,1155.784,578.392,1.1534889665654191e-07,5.960464477539062e-07,1.4781951904296875e-05,6
quadratureshap,QuadratureSHAP-8,24,1000,23.298,24.0,1155.784,578.392,1.0328280808380441e-07,4.76837158203125e-07,9.5367431640625e-07,8
quadratureshap,QuadratureSHAP-16,24,1000,23.298,24.0,1155.784,578.392,9.880773177428637e-08,4.76837158203125e-07,8.344650268554688e-07,16
treeshap,TreeSHAP,32,1000,27.575,32.0,1183.32,592.16,0.0006509536178782582,0.007105766795575619,0.03442537784576416,
quadratureshap,QuadratureSHAP-4,32,1000,27.575,32.0,1183.32,592.16,4.2502266296651214e-05,0.0004824650241062045,0.0018895268440246582,4
quadratureshap,QuadratureSHAP-6,32,1000,27.575,32.0,1183.32,592.16,1.5642385164937878e-07,1.430511474609375e-06,2.6345252990722656e-05,6
quadratureshap,QuadratureSHAP-8,32,1000,27.575,32.0,1183.32,592.16,9.470299744407384e-08,5.960464477539062e-07,1.0728836059570312e-06,8
quadratureshap,QuadratureSHAP-16,32,1000,27.575,32.0,1183.32,592.16,9.266391032269894e-08,5.960464477539062e-07,1.0728836059570312e-06,16
treeshap,TreeSHAP,48,1000,28.984,48.0,1187.258,594.129,0.3515746593475342,6.677259922027588,129.4392852783203,
quadratureshap,QuadratureSHAP-4,48,1000,28.984,48.0,1187.258,594.129,4.8064146540127695e-05,0.0005460083484649658,0.002147972583770752,4
quadratureshap,QuadratureSHAP-6,48,1000,28.984,48.0,1187.258,594.129,1.9526073913311848e-07,2.384185791015625e-06,1.990795135498047e-05,6
quadratureshap,QuadratureSHAP-8,48,1000,28.984,48.0,1187.258,594.129,9.31273902438079e-08,5.960464477539062e-07,9.5367431640625e-07,8
quadratureshap,QuadratureSHAP-16,48,1000,28.984,48.0,1187.258,594.129,9.068048711924348e-08,5.960464477539062e-07,9.5367431640625e-07,16
treeshap,TreeSHAP,55,1000,28.901,55.0,1187.264,594.132,4.371616363525391,81.65660858154297,2947.7001953125,
quadratureshap,QuadratureSHAP-4,55,1000,28.901,55.0,1187.264,594.132,4.819346941076219e-05,0.0005844700499437749,0.002337813377380371,4
quadratureshap,QuadratureSHAP-6,55,1000,28.901,55.0,1187.264,594.132,1.9430953557275643e-07,2.5033950805664062e-06,1.8835067749023438e-05,6
quadratureshap,QuadratureSHAP-8,55,1000,28.901,55.0,1187.264,594.132,9.156283198308302e-08,5.960464477539062e-07,1.0728836059570312e-06,8
quadratureshap,QuadratureSHAP-16,55,1000,28.901,55.0,1187.264,594.132,8.748393298674273e-08,5.960464477539062e-07,9.5367431640625e-07,16
treeshap,TreeSHAP,64,1000,28.901,55.0,1187.264,594.132,4.371616363525391,81.65660858154297,2947.7001953125,
quadratureshap,QuadratureSHAP-4,64,1000,28.901,55.0,1187.264,594.132,4.819346941076219e-05,0.0005844700499437749,0.002337813377380371,4
quadratureshap,QuadratureSHAP-6,64,1000,28.901,55.0,1187.264,594.132,1.9430953557275643e-07,2.5033950805664062e-06,1.8835067749023438e-05,6
quadratureshap,QuadratureSHAP-8,64,1000,28.901,55.0,1187.264,594.132,9.156283198308302e-08,5.960464477539062e-07,1.0728836059570312e-06,8
quadratureshap,QuadratureSHAP-16,64,1000,28.901,55.0,1187.264,594.132,8.748393298674273e-08,5.960464477539062e-07,9.5367431640625e-07,16
