model,device,algorithm,order,rows,mean_s,std_s,library,status,finite,mean_efficiency_error,max_efficiency_error,sample_1_s,sample_2_s,sample_3_s,max_row_sum_error,mean_row_sum_error,max_asymmetry,error
adult-large,cpu,quadratureshap,1,1000,1.8681249526756194,0.12036873414971583,/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/python-gpu/xgboost/lib/libxgboost.so,ok,True,2.1956861928629223e-06,1.1920928955078125e-05,2.019638344005216,1.8595673450035974,1.725169169018045,,,,
adult-large,cpu,quadratureshap,2,100,1.446022091336393,0.08405320059525616,/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/python-gpu/xgboost/lib/libxgboost.so,ok,True,,,1.4102938339929096,1.5620698719867505,1.3657025680295192,1.8358230590820312e-05,1.1884430932695977e-06,0.0,
adult-large,cpu,treeshap,1,1000,7.002117499670324,0.10083788669158052,/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/python-gpu/xgboost/lib/libxgboost.so,ok,True,2.291239752594265e-06,1.1444091796875e-05,6.9744415350141935,7.137108071008697,6.894802892988082,,,,
adult-large,cpu,treeshap,2,100,23.13739949334801,0.8222611215098975,/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/python-gpu/xgboost/lib/libxgboost.so,ok,True,,,24.298182405007537,22.496947219013236,22.617068856023252,7.152557373046875e-07,2.0394926636413402e-08,5.364418029785156e-06,
adult-large,cuda,quadratureshap,1,1000,0.18636643131806827,0.0015576329017490892,/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/python-gpu/xgboost/lib/libxgboost.so,ok,True,0.06461312621831894,3.8646719455718994,0.1866374029777944,0.18433773098513484,0.18812415999127552,,,,
adult-large,cuda,quadratureshap,2,100,0.15820259567893422,8.025323371286161e-05,/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/python-gpu/xgboost/lib/libxgboost.so,ok,True,,,0.15827770601026714,0.1580913540092297,0.1582387270173058,3.5762786865234375e-06,1.8376661614638579e-07,0.0,
adult-large,cuda,treeshap,1,1000,0.3951708693251324,0.004668185450898191,/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/python-gpu/xgboost/lib/libxgboost.so,ok,True,0.201032355427742,3.9940757751464844,0.4017457699519582,0.39239911700133234,0.3913677210221067,,,,
adult-large,cuda,treeshap,2,100,0.48266304765517515,0.0027068515459969275,/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/python-gpu/xgboost/lib/libxgboost.so,ok,True,,,0.486483373970259,0.4809635929996148,0.48054217599565163,0.0015353858470916748,3.1069348551682197e-06,5.960464477539063e-08,
adult-small,cpu,quadratureshap,1,1000,0.0018328303315987189,0.0006477080698779793,/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/python-gpu/xgboost/lib/libxgboost.so,ok,True,9.316205762388563e-08,3.5762786865234375e-07,0.002744908968452364,0.0013034900184720755,0.0014500920078717172,,,,
adult-small,cpu,quadratureshap,2,100,0.0013326889796492953,0.00036269681383696605,/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/python-gpu/xgboost/lib/libxgboost.so,ok,True,,,0.0018455259851180017,0.0010677779791876674,0.0010847629746422172,8.940696716308594e-08,1.6587270446066782e-09,0.0,
adult-small,cpu,treeshap,1,1000,0.002128596999682486,0.00048387989445220506,/home/rorym/xgboost-worktrees/quadrature-figure1/experiments/2026-09-21-quadrature-correction/artifacts/python-gpu/xgboost/lib/libxgboost.so,ok,True,9.322166505398854e-08,2.384185791015625e-07,0.0027953439857810736,0.0016618219669908285,0.001928625046275556,,,,
